descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento para venda possui 66 metros quadrados com 2 quartos em Mercês - Curitiba - Paraná;Rua Brigadeiro Franco;[];[2];[2];-;660000;800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-merces-bairros-curitiba-com-garagem-66m2-venda-RS660000-id-2525001082/
Apartamento para venda possui 144 metros quadrados com 3 quartos em Juvevê - Curitiba - Paraná;Rua Rocha Pombo;[];[3];[3];-;1390000;600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-juveve-bairros-curitiba-com-garagem-144m2-venda-RS1390000-id-2543334343/
Apartamento para venda possui 88 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Sanito Rocha;['118'];[3];[2];-;395000;575;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-88m2-venda-RS395000-id-2527428932/
Apartamento para venda possui 94 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Monsenhor Manoel Vicente;['168'];[3];[2];-;680000;530;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-94m2-venda-RS680000-id-2540019474/
Apartamento de 3 quartos totalmente reformado na melhor quadra do Cabral;Avenida Anita Garibaldi;['161'];[3];[3];-;587000;920;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-109m2-venda-RS587000-id-2543765264/
OPORTUNIDADE! Apartamento para personalizar com vista espetacular e definitiva!;Rua Engenheiro Niepce da Silva;[];[2];[3];-;830000;550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS830000-id-2539630890/
Apartamento para venda tem 73 metros quadrados com 3 quartos em Uberaba - Curitiba - Paraná;Rua Helena Andretta de Oliveira;[];[3];[2];-;375000;345;https://www.vivareal.com.br/imovel/apartamento-3-quartos-uberaba-bairros-curitiba-com-garagem-73m2-venda-RS375000-id-2542080475/
Apartamento para venda tem 69 metros quadrados com 3 quartos em Cajuru - Curitiba - Paraná;Rua Salvador;['77'];[3];[2];-;265000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cajuru-bairros-curitiba-com-garagem-69m2-venda-RS265000-id-2537910724/
Apartamento para venda com 54 metros quadrados com 2 quartos em Água Verde - Curitiba - Paraná;Rua Coronel Dulcídio;['67'];[2];[1];-;215000;345;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-54m2-venda-RS215000-id-2518442439/
Apartamento para venda possui 65 metros quadrados com 2 quartos em Bacacheri - Curitiba - Paraná;Rua Doutor Alarico Vieira de Alencar;['95'];[2];[2];-;425000;330;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-65m2-venda-RS425000-id-2540611673/
Apartamento para venda com 123 metros quadrados com 2 quartos em Ecoville - Curitiba - Paraná;Rua Doutor Brasílio Vicente de Castro;['183'];[2];[3];-;729000;950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-ecoville-bairros-curitiba-com-garagem-123m2-venda-RS729000-id-2533906480/
Apartamento para venda com 114 metros quadrados com 3 quartos em Ahú - Curitiba - Paraná;Rua Marechal Hermes;['135'];[3];[3];-;830000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ahu-bairros-curitiba-com-garagem-114m2-venda-RS830000-id-2538904892/
